seed,model_size,language,task,accuracy,correct_count,incorrect_count,option_a_count,option_b_count
0,3B,en,AB,0.995,398,2,200,200
1,3B,en,AB,0.995,398,2,200,200
2,3B,en,AB,0.995,398,2,200,200
0,3B,en,BC,1.0,400,0,200,200
1,3B,en,BC,1.0,400,0,200,200
2,3B,en,BC,1.0,400,0,200,200
0,3B,en,CA,1.0,400,0,200,200
1,3B,en,CA,1.0,400,0,200,200
2,3B,en,CA,1.0,400,0,200,200
0,3B,en,BA,0.005,2,398,200,200
1,3B,en,BA,0.005,2,398,200,200
2,3B,en,BA,0.005,2,398,200,200
0,3B,en,CB,0.0,0,400,200,200
1,3B,en,CB,0.0,0,400,200,200
2,3B,en,CB,0.0,0,400,200,200
0,3B,en,AC,0.0,0,400,200,200
1,3B,en,AC,0.0,0,400,200,200
2,3B,en,AC,0.0,0,400,200,200
0,3B,hi,AB,0.9925,397,3,201,199
0,3B,hi,BC,1.0,400,0,200,200
0,3B,hi,CA,0.9975,399,1,199,201
0,3B,hi,BA,0.0075,3,397,201,199
0,3B,hi,CB,0.0,0,400,200,200
0,3B,hi,AC,0.0025,1,399,199,201
0,3B,ar,AB,0.9975,399,1,201,199
0,3B,ar,BC,1.0,400,0,200,200
0,3B,ar,CA,1.0,400,0,200,200
0,3B,ar,BA,0.0025,1,399,201,199
0,3B,ar,CB,0.0,0,400,200,200
0,3B,ar,AC,0.0,0,400,200,200
0,3B,es,AB,0.9975,399,1,199,201
0,3B,es,BC,1.0,400,0,200,200
0,3B,es,CA,0.9975,399,1,199,201
0,3B,es,BA,0.0025,1,399,199,201
0,3B,es,CB,0.0,0,400,200,200
0,3B,es,AC,0.0025,1,399,199,201
0,3B,zh-cn,AB,0.9975,399,1,199,201
0,3B,zh-cn,BC,1.0,400,0,200,200
0,3B,zh-cn,CA,1.0,400,0,200,200
0,3B,zh-cn,BA,0.0025,1,399,199,201
0,3B,zh-cn,CB,0.0,0,400,200,200
0,3B,zh-cn,AC,0.0,0,400,200,200
1,3B,hi,AB,0.995,398,2,200,200
2,3B,hi,AB,0.995,398,2,200,200
1,3B,hi,BC,0.9975,399,1,199,201
2,3B,hi,BC,0.9975,399,1,199,201
1,3B,hi,CA,0.9975,399,1,199,201
2,3B,hi,CA,0.9975,399,1,199,201
1,3B,ar,AB,0.995,398,2,202,198
2,3B,ar,AB,0.9925,397,2,200,199
1,3B,ar,BC,0.9975,399,1,199,201
2,3B,ar,BC,1.0,400,0,200,200
1,3B,ar,CA,1.0,400,0,200,200
2,3B,ar,CA,1.0,400,0,200,200
1,3B,es,AB,0.995,398,2,200,200
2,3B,es,AB,0.995,398,2,200,200
1,3B,es,BC,1.0,400,0,200,200
2,3B,es,BC,0.9975,399,0,200,199
1,3B,es,CA,1.0,400,0,200,200
2,3B,es,CA,1.0,400,0,200,200
1,3B,zh-cn,AB,0.9975,399,1,199,201
2,3B,zh-cn,AB,0.995,398,2,200,200
1,3B,zh-cn,BC,1.0,400,0,200,200
2,3B,zh-cn,BC,1.0,400,0,200,200
1,3B,zh-cn,CA,1.0,400,0,200,200
2,3B,zh-cn,CA,1.0,400,0,200,200
