model_size,language,task,accuracy,correct_count,incorrect_count,option_a_count,option_b_count
3B,en,AB,0.9925,397,3,201,199
3B,en,BC,1.0,400,0,200,200
3B,en,CA,1.0,400,0,200,200
3B,en,BA,0.995,398,2,200,200
3B,en,CB,1.0,400,0,200,200
3B,en,AC,1.0,400,0,200,200
3B,hi,AB,0.9925,397,3,201,199
3B,hi,BC,1.0,400,0,200,200
3B,hi,CA,1.0,400,0,200,200
3B,hi,BA,0.9975,399,1,199,201
3B,hi,CB,1.0,400,0,200,200
3B,hi,AC,1.0,400,0,200,200
3B,ar,AB,0.9975,399,1,199,201
3B,ar,BC,1.0,400,0,200,200
3B,ar,CA,1.0,400,0,200,200
3B,ar,BA,0.9975,399,1,199,201
3B,ar,CB,1.0,400,0,200,200
3B,ar,AC,1.0,400,0,200,200
3B,es,AB,0.9975,399,1,199,201
3B,es,BC,1.0,400,0,200,200
3B,es,CA,1.0,400,0,200,200
3B,es,BA,0.9925,397,3,199,201
3B,es,CB,1.0,400,0,200,200
3B,es,AC,1.0,400,0,200,200
3B,zh-cn,AB,0.995,398,2,200,200
3B,zh-cn,BC,1.0,400,0,200,200
3B,zh-cn,CA,1.0,400,0,200,200
3B,zh-cn,BA,0.9975,399,1,199,201
3B,zh-cn,CB,1.0,400,0,200,200
3B,zh-cn,AC,1.0,400,0,200,200
