size,lang,task,instruction_models,gamma_instr,gamma_pref,dev_accuracy,test_accuracy
1B,en,AB,BC_CB,0.7000000000000001,0.3999999999999999,379,374.0
1B,en,AB,CA_AC,1.1,0.8999999999999999,359,359.0
1B,en,BC,CA_AC,2.1,1.4000000000000004,384,378.0
1B,en,BC,AB_BA,1.0,0.5,398,388.0
1B,en,CA,AB_BA,1.6,1.3,337,332.0
1B,en,CA,BC_CB,0.6,0.3,345,338.0
1B,hi,AB,BC_CB,0.5,0.5,326,317.0
1B,hi,AB,CA_AC,3.0,0.1999999999999999,280,281.0
1B,hi,BC,CA_AC,0.3,0.0999999999999999,262,246.0
1B,hi,BC,AB_BA,1.0,0.5,388,382.0
1B,hi,CA,AB_BA,0.3999999999999999,0.3,330,318.0
1B,hi,CA,BC_CB,1.9,0.5,318,320.0
1B,ar,AB,BC_CB,0.5,0.5,328,333.0
1B,ar,AB,CA_AC,1.6000000000000003,1.3000000000000005,302,285.0
1B,ar,BC,CA_AC,0.8999999999999999,1.1,321,310.0
1B,ar,BC,AB_BA,1.2,1.8,383,373.0
1B,ar,CA,AB_BA,0.3999999999999999,0.5,329,327.0
1B,ar,CA,BC_CB,2.2,0.0999999999999999,358,356.0
1B,es,AB,BC_CB,0.5,0.4,352,350.0
1B,es,AB,CA_AC,0.6,0.3,314,326.0
1B,es,BC,CA_AC,0.3,0.1999999999999999,303,292.0
1B,es,BC,AB_BA,0.7000000000000001,0.6000000000000001,380,381.0
1B,es,CA,AB_BA,0.5,0.3999999999999999,303,293.0
1B,es,CA,BC_CB,0.8,0.1999999999999999,342,356.0
1B,zh-cn,AB,BC_CB,0.7,0.5,347,356.0
1B,zh-cn,AB,CA_AC,1.2,1.8,323,323.0
1B,zh-cn,BC,CA_AC,0.8,0.0999999999999999,355,352.0
1B,zh-cn,BC,AB_BA,0.7,0.4,395,388.0
1B,zh-cn,CA,AB_BA,1.2,0.6,321,315.0
1B,zh-cn,CA,BC_CB,0.8999999999999999,1.2,332,328.0
3B,en,AB,BC_CB,0.6,0.6,398,394.0
3B,en,AB,CA_AC,0.3,0.6,397,394.0
3B,en,BC,CA_AC,0.3,1.2,400,397.0
3B,en,BC,AB_BA,0.3999999999999999,0.5,400,398.0
3B,en,CA,AB_BA,0.6,0.6,387,384.0
3B,en,CA,BC_CB,1.7000000000000004,0.8,396,393.0
3B,hi,AB,BC_CB,0.3,0.3999999999999999,310,314.0
3B,hi,AB,CA_AC,0.8999999999999999,0.6,351,337.0
3B,hi,BC,CA_AC,1.2,0.6,400,397.0
3B,hi,BC,AB_BA,1.2000000000000002,0.5,399,391.0
3B,hi,CA,AB_BA,0.3999999999999999,0.3999999999999999,379,373.0
3B,hi,CA,BC_CB,1.8,0.3,395,396.0
3B,ar,AB,BC_CB,0.1999999999999999,0.6000000000000001,373,376.0
3B,ar,AB,CA_AC,0.1999999999999999,0.8999999999999999,385,382.0
3B,ar,BC,CA_AC,0.3,0.6,400,397.0
3B,ar,BC,AB_BA,0.3,0.6,400,397.0
3B,ar,CA,AB_BA,0.4,0.6000000000000001,386,382.0
3B,ar,CA,BC_CB,2.4,0.3,393,392.0
3B,es,AB,BC_CB,0.3,0.5,375,378.0
3B,es,AB,CA_AC,0.1999999999999999,0.6000000000000001,393,388.0
3B,es,BC,CA_AC,0.8999999999999999,0.8999999999999999,400,399.0
3B,es,BC,AB_BA,0.3999999999999999,0.5,397,396.0
3B,es,CA,AB_BA,0.7999999999999999,0.6000000000000001,391,383.0
3B,es,CA,BC_CB,3.1,0.0999999999999999,396,396.0
3B,zh-cn,AB,BC_CB,0.6,0.6,387,382.0
3B,zh-cn,AB,CA_AC,0.5,0.5,381,374.0
3B,zh-cn,BC,CA_AC,0.6,0.6,400,399.0
3B,zh-cn,BC,AB_BA,0.7,0.4,400,396.0
3B,zh-cn,CA,AB_BA,0.7000000000000001,0.6000000000000001,390,389.0
3B,zh-cn,CA,BC_CB,1.7000000000000004,0.7999999999999999,396,396.0
