size,lang,task,instruction_models,gamma_instr,gamma_pref,dev_accuracy,test_accuracy
1B,en,AB,BC_CB,0.3,0.3,312,
1B,en,AB,BC_CB,0.3,0.6,213,
1B,en,AB,BC_CB,0.3,0.8999999999999999,41,
1B,en,AB,BC_CB,0.3,1.2,42,
1B,en,AB,BC_CB,0.3,1.5,40,
1B,en,AB,BC_CB,0.3,1.8,40,
1B,en,AB,BC_CB,0.6,0.3,361,
1B,en,AB,BC_CB,0.6,0.6,367,
1B,en,AB,BC_CB,0.6,0.8999999999999999,325,
1B,en,AB,BC_CB,0.6,1.2,85,
1B,en,AB,BC_CB,0.6,1.5,39,
1B,en,AB,BC_CB,0.6,1.8,38,
1B,en,AB,BC_CB,0.8999999999999999,0.3,330,
1B,en,AB,BC_CB,0.8999999999999999,0.6,361,
1B,en,AB,BC_CB,0.8999999999999999,0.8999999999999999,344,
1B,en,AB,BC_CB,0.8999999999999999,1.2,279,
1B,en,AB,BC_CB,0.8999999999999999,1.5,233,
1B,en,AB,BC_CB,0.8999999999999999,1.8,46,
1B,en,AB,BC_CB,1.2,0.3,279,
1B,en,AB,BC_CB,1.2,0.6,330,
1B,en,AB,BC_CB,1.2,0.8999999999999999,333,
1B,en,AB,BC_CB,1.2,1.2,296,
1B,en,AB,BC_CB,1.2,1.5,264,
1B,en,AB,BC_CB,1.2,1.8,232,
1B,en,AB,BC_CB,1.5,0.3,262,
1B,en,AB,BC_CB,1.5,0.6,323,
1B,en,AB,BC_CB,1.5,0.8999999999999999,324,
1B,en,AB,BC_CB,1.5,1.2,291,
1B,en,AB,BC_CB,1.5,1.5,258,
1B,en,AB,BC_CB,1.5,1.8,244,
1B,en,AB,BC_CB,1.8,0.3,285,
1B,en,AB,BC_CB,1.8,0.6,315,
1B,en,AB,BC_CB,1.8,0.8999999999999999,306,
1B,en,AB,BC_CB,1.8,1.2,272,
1B,en,AB,BC_CB,1.8,1.5,237,
1B,en,AB,BC_CB,1.8,1.8,229,
1B,en,AB,BC_CB,2.1,0.3,283,
1B,en,AB,BC_CB,2.1,0.6,289,
1B,en,AB,BC_CB,2.1,0.8999999999999999,280,
1B,en,AB,BC_CB,2.1,1.2,261,
1B,en,AB,BC_CB,2.1,1.5,232,
1B,en,AB,BC_CB,2.1,1.8,216,
1B,en,AB,BC_CB,2.4,0.3,245,
1B,en,AB,BC_CB,2.4,0.6,260,
1B,en,AB,BC_CB,2.4,0.8999999999999999,254,
1B,en,AB,BC_CB,2.4,1.2,252,
1B,en,AB,BC_CB,2.4,1.5,232,
1B,en,AB,BC_CB,2.4,1.8,212,
1B,en,AB,BC_CB,2.7,0.3,223,
1B,en,AB,BC_CB,2.7,0.6,236,
1B,en,AB,BC_CB,2.7,0.8999999999999999,236,
1B,en,AB,BC_CB,2.7,1.2,242,
1B,en,AB,BC_CB,2.7,1.5,225,
1B,en,AB,BC_CB,2.7,1.8,203,
1B,en,AB,BC_CB,3.0,0.3,213,
1B,en,AB,BC_CB,3.0,0.6,219,
1B,en,AB,BC_CB,3.0,0.8999999999999999,233,
1B,en,AB,BC_CB,3.0,1.2,236,
1B,en,AB,BC_CB,3.0,1.5,219,
1B,en,AB,BC_CB,3.0,1.8,191,
1B,en,AB,BC_CB,0.3999999999999999,0.3999999999999999,318,
1B,en,AB,BC_CB,0.3999999999999999,0.5,335,
1B,en,AB,BC_CB,0.3999999999999999,0.6000000000000001,332,
1B,en,AB,BC_CB,0.3999999999999999,0.7000000000000001,282,
1B,en,AB,BC_CB,0.3999999999999999,0.8,162,
1B,en,AB,BC_CB,0.5,0.3999999999999999,345,
1B,en,AB,BC_CB,0.5,0.5,352,
1B,en,AB,BC_CB,0.5,0.6000000000000001,354,
1B,en,AB,BC_CB,0.5,0.7000000000000001,342,
1B,en,AB,BC_CB,0.5,0.8,325,
1B,en,AB,BC_CB,0.6000000000000001,0.3999999999999999,368,
1B,en,AB,BC_CB,0.6000000000000001,0.5,370,
1B,en,AB,BC_CB,0.6000000000000001,0.6000000000000001,367,
